epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,831.807,0.8078,0.52664,0.86173,0.89851,0.77316,0.85484,0.68457,0.7977,0.49647,0.85858,6.37584e-05,6.37584e-05,6.37584e-05
74,843.175,0.79656,0.5243,0.85807,0.79725,0.85048,0.88498,0.71251,0.79605,0.49648,0.85911,6.15606e-05,6.15606e-05,6.15606e-05
75,854.956,0.80793,0.52666,0.86032,0.77214,0.88285,0.89567,0.71897,0.80297,0.4986,0.85932,5.93628e-05,5.93628e-05,5.93628e-05
76,866.429,0.8042,0.52156,0.85778,0.85354,0.86154,0.8895,0.71462,0.8,0.494,0.85825,5.7165e-05,5.7165e-05,5.7165e-05
77,877.799,0.80471,0.51991,0.86211,0.78608,0.87042,0.89394,0.71827,0.79344,0.49002,0.85754,5.49672e-05,5.49672e-05,5.49672e-05
78,889.298,0.79759,0.52351,0.86223,0.79384,0.8511,0.88384,0.71015,0.79955,0.49227,0.85838,5.27694e-05,5.27694e-05,5.27694e-05
79,900.753,0.80307,0.52447,0.86025,0.80538,0.87549,0.89685,0.71945,0.79363,0.48888,0.85729,5.05716e-05,5.05716e-05,5.05716e-05
80,912.291,0.81,0.52256,0.86206,0.78618,0.86515,0.88152,0.71141,0.79056,0.49068,0.857,4.83738e-05,4.83738e-05,4.83738e-05
81,923.675,0.7929,0.51429,0.85691,0.78676,0.87557,0.89375,0.72017,0.7902,0.49076,0.85675,4.6176e-05,4.6176e-05,4.6176e-05
82,935.418,0.80665,0.51762,0.86495,0.89097,0.80691,0.8874,0.71429,0.79758,0.49318,0.85794,4.39782e-05,4.39782e-05,4.39782e-05
83,947.09,0.79951,0.51491,0.8577,0.78637,0.84874,0.87601,0.70538,0.79346,0.48983,0.85797,4.17804e-05,4.17804e-05,4.17804e-05
84,958.678,0.79717,0.51236,0.85809,0.75397,0.86309,0.87793,0.7089,0.79241,0.49201,0.85707,3.95826e-05,3.95826e-05,3.95826e-05
85,970.295,0.79063,0.50911,0.85723,0.82537,0.85074,0.88081,0.71032,0.79245,0.48891,0.85744,3.73848e-05,3.73848e-05,3.73848e-05
86,981.587,0.80094,0.51466,0.85989,0.81117,0.86131,0.86212,0.69135,0.78814,0.48516,0.85594,3.5187e-05,3.5187e-05,3.5187e-05
87,993.078,0.78777,0.50615,0.85751,0.81736,0.86329,0.88394,0.71224,0.79231,0.48697,0.85776,3.29892e-05,3.29892e-05,3.29892e-05
88,1004.54,0.7972,0.50665,0.85691,0.82366,0.85789,0.87944,0.70969,0.79099,0.48446,0.85698,3.07914e-05,3.07914e-05,3.07914e-05
89,1015.95,0.79108,0.50883,0.85744,0.8349,0.84257,0.87873,0.707,0.79233,0.48831,0.85744,2.85936e-05,2.85936e-05,2.85936e-05
90,1026.91,0.79271,0.50623,0.85649,0.83711,0.83992,0.87606,0.70484,0.7928,0.48987,0.85746,2.63958e-05,2.63958e-05,2.63958e-05
91,1039.11,0.75233,0.47814,0.85159,0.88029,0.82841,0.89185,0.71765,0.79413,0.48986,0.85815,2.4198e-05,2.4198e-05,2.4198e-05
92,1050.45,0.74274,0.47156,0.84922,0.85335,0.84871,0.89238,0.71975,0.791,0.48765,0.85654,2.20002e-05,2.20002e-05,2.20002e-05
93,1061.8,0.73851,0.46558,0.84937,0.83961,0.84739,0.89127,0.72037,0.79077,0.4887,0.85751,1.98024e-05,1.98024e-05,1.98024e-05
94,1073.22,0.73815,0.4634,0.84785,0.86746,0.83458,0.891,0.72007,0.79184,0.48789,0.85724,1.76046e-05,1.76046e-05,1.76046e-05
95,1084.62,0.73792,0.46374,0.8498,0.84779,0.83834,0.89108,0.71831,0.79277,0.48677,0.85734,1.54068e-05,1.54068e-05,1.54068e-05
96,1096.1,0.73823,0.46363,0.84834,0.86382,0.83655,0.89304,0.71959,0.79194,0.48648,0.85717,1.3209e-05,1.3209e-05,1.3209e-05
97,1107.61,0.73573,0.46262,0.84851,0.87965,0.83249,0.89255,0.72004,0.79071,0.48637,0.8569,1.10112e-05,1.10112e-05,1.10112e-05
98,1119.28,0.73115,0.46042,0.84982,0.87822,0.83543,0.89406,0.72116,0.79318,0.48439,0.85742,8.8134e-06,8.8134e-06,8.8134e-06
99,1131.04,0.73357,0.46053,0.84699,0.88166,0.82884,0.89397,0.72234,0.79081,0.48533,0.85691,6.6156e-06,6.6156e-06,6.6156e-06
100,1142.61,0.72619,0.45712,0.84776,0.88409,0.83189,0.89423,0.72285,0.78761,0.4849,0.85643,4.4178e-06,4.4178e-06,4.4178e-06
